NOTICE: 2025-02-19 10:38:46  reuqest_uri [/mapi/teacher/lists?is_select=1&is_subject=0] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":2,"db_query":1}] request complete 
NOTICE: 2025-02-19 10:38:46  reuqest_uri [/mapi/area/lists?is_onlyarea=1] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":3,"db_query":0}] request complete 
NOTICE: 2025-02-19 10:38:46  reuqest_uri [/mapi/student/lists?is_select=1&nickname=&is_defer=1] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":4,"db_query":2}] request complete 
NOTICE: 2025-02-19 10:38:46  reuqest_uri [/mapi/api/areaoperator] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":2,"db_query":1}] request complete 
NOTICE: 2025-02-19 10:38:46  reuqest_uri [/mapi/api/soplists] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":2,"db_query":1}] request complete 
NOTICE: 2025-02-19 10:38:46  reuqest_uri [/mapi/student/lists?is_select=1&nickname=&is_defer=1] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":3,"db_query":2}] request complete 
NOTICE: 2025-02-19 10:38:46  reuqest_uri [/mapi/schedule/lists] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":9,"db_query":4}] request complete 
NOTICE: 2025-02-19 10:38:54  reuqest_uri [/mapi/dashboard/menu] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":0}] request complete 
NOTICE: 2025-02-19 10:38:54  reuqest_uri [/mapi/teacher/lists?is_select=1&is_subject=0] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":2,"db_query":1}] request complete 
NOTICE: 2025-02-19 10:38:54  reuqest_uri [/mapi/group/lists?is_select=1] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":36,"db_query":8}] request complete 
NOTICE: 2025-02-19 10:38:54  reuqest_uri [/mapi/area/lists?is_onlyarea=1] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":1,"db_query":0}] request complete 
NOTICE: 2025-02-19 10:38:54  reuqest_uri [/mapi/student/lists?is_select=1&nickname=&is_defer=1] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":4,"db_query":1}] request complete 
NOTICE: 2025-02-19 10:38:54  reuqest_uri [/mapi/student/lists?is_select=1&nickname=&is_defer=1] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":4,"db_query":2}] request complete 
NOTICE: 2025-02-19 10:38:54  reuqest_uri [/mapi/api/areaoperator] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":2,"db_query":2}] request complete 
NOTICE: 2025-02-19 10:38:54  reuqest_uri [/mapi/api/soplists] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":2,"db_query":1}] request complete 
NOTICE: 2025-02-19 10:38:54  reuqest_uri [/mapi/schedule/lists] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":10,"db_query":5}] request complete 
NOTICE: 2025-02-19 10:38:57  reuqest_uri [/mapi/schedule/lists] refer [http://127.0.0.1:8060//mapi/dashboard/page]  client_ip [127.0.0.1]  module [mapi]  uid [0] time: [{"ts_all":15,"db_query":3}] request complete 
